submission_id,QUD,RT,age,comments,education,endTime,experiment_id,gender,languages,option1,option2,question,response,startDate,startTime,timeSpent,trial_name,trial_number
379,,9230,30,,Graduated High School,1573751026181,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Thu Nov 14 2019 18:01:24 GMT+0100 (CET),1573750884572,2.36015,forced_choice,1
379,,9330,30,,Graduated High School,1573751026181,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Thu Nov 14 2019 18:01:24 GMT+0100 (CET),1573750884572,2.36015,forced_choice,2
379,,5248,30,,Graduated High School,1573751026181,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Thu Nov 14 2019 18:01:24 GMT+0100 (CET),1573750884572,2.36015,forced_choice,3
378,,5570,29,,Higher Degree,1573738279034,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Thu Nov 14 2019 14:29:09 GMT+0100 (CET),1573738149718,2.155266666666667,forced_choice,1
378,,2896,29,,Higher Degree,1573738279034,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Thu Nov 14 2019 14:29:09 GMT+0100 (CET),1573738149718,2.155266666666667,forced_choice,2
378,,36236,29,,Higher Degree,1573738279034,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Thu Nov 14 2019 14:29:09 GMT+0100 (CET),1573738149718,2.155266666666667,forced_choice,3
377,,5906,20,,Graduated High School,1573680111631,8,female,german,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Wed Nov 13 2019 22:20:43 GMT+0100 (Central European Standard Time),1573680043052,1.1429833333333332,forced_choice,1
377,,4767,20,,Graduated High School,1573680111631,8,female,german,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 22:20:43 GMT+0100 (Central European Standard Time),1573680043052,1.1429833333333332,forced_choice,2
377,,10427,20,,Graduated High School,1573680111631,8,female,german,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 22:20:43 GMT+0100 (Central European Standard Time),1573680043052,1.1429833333333332,forced_choice,3
376,,5109,21,,Graduated High School,1573650898282,8,male,"German, Spanish, Catalan",Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 14:14:11 GMT+0100 (Central European Standard Time),1573650851508,0.7795666666666666,forced_choice,1
376,,2842,21,,Graduated High School,1573650898282,8,male,"German, Spanish, Catalan",Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 14:14:11 GMT+0100 (Central European Standard Time),1573650851508,0.7795666666666666,forced_choice,2
376,,2024,21,,Graduated High School,1573650898282,8,male,"German, Spanish, Catalan",Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 14:14:11 GMT+0100 (Central European Standard Time),1573650851508,0.7795666666666666,forced_choice,3
375,,6904,23,,Graduated High School,1573650282542,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 14:03:43 GMT+0100 (CET),1573650223683,0.9809833333333333,forced_choice,1
375,,9350,23,,Graduated High School,1573650282542,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Wed Nov 13 2019 14:03:43 GMT+0100 (CET),1573650223683,0.9809833333333333,forced_choice,2
375,,3049,23,,Graduated High School,1573650282542,8,female,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 14:03:43 GMT+0100 (CET),1573650223683,0.9809833333333333,forced_choice,3
374,,11610,22,,Graduated High School,1573647236045,8,male,"German, klingonic",Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 13:11:46 GMT+0100 (Mitteleuropäische Normalzeit),1573647106268,2.16295,forced_choice,1
374,,2512,22,,Graduated High School,1573647236045,8,male,"German, klingonic",Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 13:11:46 GMT+0100 (Mitteleuropäische Normalzeit),1573647106268,2.16295,forced_choice,2
374,,4860,22,,Graduated High School,1573647236045,8,male,"German, klingonic",Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 13:11:46 GMT+0100 (Mitteleuropäische Normalzeit),1573647106268,2.16295,forced_choice,3
